,drink_wat,water_time,toilet,hh_gps_latitude,hh_gps_longitude,Country
409,8,15,10,8.396161667000001,-10.62309167,SL
410,3,15,3,8.396283333,-10.51411,SL
411,3,90,10,8.396798333,-10.54584333,SL
412,8,12,6,8.397025,-10.46602333,SL
413,8,25,6,8.397026667,-10.46646833,SL
414,8,20,6,8.39752,-10.57659833,SL
415,7,30,6,8.398323332999999,-10.58885167,SL
416,8,15,10,8.399693333,-9.452716667,GN
417,7,20,6,8.400633333,-10.567085,SL
418,8,15,10,8.401401667,-9.508483333,GN
419,3,5,6,8.401456667,-10.626655,SL
420,7,30,10,8.40152,-10.45460833,SL
421,8,10,10,8.402208332999999,-9.501456667000001,GN
422,8,15,3,8.404865,-10.49338333,SL
423,8,20,3,8.405636667000001,-10.503,SL
424,11,50,3,8.405755000000001,-10.53387333,SL
425,11,30,10,8.406293332999999,-9.639913332999999,LR
426,11,15,10,8.408081667000001,-9.560498333,GN
427,1,40,10,8.40825,-9.560678333,GN
428,3,10,10,8.408681667,-10.56153667,SL
429,3,45,10,8.408891667,-9.608278333,LR
430,7,30,10,8.409691667,-10.458025,SL
431,8,20,6,8.409805,-10.64269333,SL
432,3,30,6,8.410883333,-10.479569999999999,SL
433,11,30,3,8.411655,-10.51198167,SL
434,8,35,6,8.412373333,-10.607005000000001,SL
435,8,5,10,8.412560000000001,-10.616325,SL
436,8,15,6,8.412891667,-10.44995,SL
437,3,25,10,8.413596667,-9.490911667,GN
438,8,60,3,8.414041667000001,-10.48115,SL
439,3,30,10,8.416135,-9.539271667000001,GN
440,8,20,3,8.416298333,-10.48781167,SL
441,8,90,3,8.416848332999999,-10.520905,SL
442,11,20,3,8.417748332999999,-10.49777,SL
443,7,30,10,8.417761667,-10.44361167,SL
444,8,30,6,8.417796667000001,-10.542695,SL
445,8,30,6,8.418660000000001,-10.58420667,SL
446,3,15,6,8.419939999999999,-10.63561667,SL
447,11,20,3,8.420103333,-10.51778,SL
448,3,10,10,8.420203333,-9.398155000000001,GN
449,8,8,10,8.420251667,-9.596488333,LR
450,7,3,6,8.420646667,-10.62373,SL
451,3,10,10,8.420646667,-10.56759833,SL
452,8,60,10,8.422096667,-10.43606167,SL
453,8,30,6,8.422203332999999,-10.59786333,SL
454,8,120,10,8.422266667,-10.60787333,SL
455,3,3,10,8.423468332999999,-10.49684333,SL
456,7,30,6,8.42488,-10.44977333,SL
457,8,10,3,8.425113332999999,-10.48566333,SL
458,8,15,10,8.425403333,-10.48578,SL
459,5,30,3,8.425548333,-10.47368,SL
460,8,40,10,8.425993333,-10.4746,SL
461,8,60,6,8.427713333,-10.58736333,SL
462,3,15,10,8.427985000000001,-9.579856667,GN
463,3,30,10,8.428548333,-10.45777833,SL
464,8,10,6,8.429643333,-10.43030167,SL
465,3,30,3,8.430173332999999,-10.54808833,SL
466,8,20,10,8.43022,-10.59824667,SL
467,3,60,10,8.430283333,-10.46671667,SL
468,3,15,6,8.431096667,-10.50398333,SL
469,11,60,10,8.431523333,-10.50451167,SL
470,3,15,6,8.431560000000001,-9.429445,GN
471,3,15,97,8.431658333,-10.547015,SL
472,3,2,4,8.431818332999999,-10.50311333,SL
473,8,5,10,8.432455000000001,-10.53031167,SL
474,3,40,10,8.432968333,-9.554703332999999,GN
475,3,30,10,8.433605,-9.481815,GN
476,7,10,10,8.434361667000001,-10.426925,SL
477,11,90,3,8.436169999999999,-10.49040667,SL
478,8,60,6,8.436566667000001,-10.58147167,SL
479,8,60,6,8.437001667,-10.55658333,SL
480,8,15,10,8.43713,-10.44075833,SL
481,8,30,6,8.437439999999999,-10.54538667,SL
482,8,30,10,8.438011667,-10.59091667,SL
483,11,45,10,8.438026667,-10.59116833,SL
484,3,10,6,8.43833,-10.60558,SL
485,3,3,6,8.438516667,-10.62996167,SL
486,3,30,6,8.439221667,-10.61772,SL
487,1,60,10,8.439416667,-10.51726,SL
488,8,24,6,8.440021667,-10.48381,SL
489,8,40,10,8.442166667,-10.417689999999999,SL
490,3,40,3,8.442216667,-9.496186667,GN
491,11,30,10,8.442313333,-9.570846667,GN
492,3,20,6,8.442396667,-10.53198833,SL
493,8,10,6,8.442663332999999,-10.606065,SL
494,99,25,97,8.442675,-10.49685833,SL
495,999995,999995,999995,8.443176667000001,-10.49629833,SL
496,999995,999995,999995,8.443236667,-10.49644333,SL
497,1,10,10,8.44324,-10.49636833,SL
498,11,60,10,8.443446667,-10.49750167,SL
499,8,60,10,8.445223333,-10.45980833,SL
500,8,30,10,8.44535,-10.56961667,SL
501,11,20,6,8.44543,-10.441015,SL
502,8,25,8,8.447085000000001,-10.48343667,SL
503,7,35,6,8.447581667,-10.467080000000001,SL
504,11,30,6,8.447825,-10.467189999999999,SL
505,8,4,6,8.44848,-10.61386667,SL
506,3,35,10,8.44962,-9.606676667,LR
507,3,6,3,8.449768333,-10.43282,SL
508,8,5,6,8.450048333,-10.420625,SL
509,8,60,6,8.450565,-10.55957833,SL
510,8,75,10,8.450595,-10.53262833,SL
511,5,30,10,8.450938333,-10.58688,SL
512,3,10,10,8.450988333,-10.514415,SL
513,11,20,10,8.450988333,-9.474225,GN
514,3,30,6,8.451078333,-10.62727667,SL
515,11,20,10,8.451608333,-10.60569833,SL
516,11,60,10,8.452101667,-10.45093333,SL
517,5,30,10,8.452218333,-10.052539999999999,GN
518,5,60,3,8.452301667,-10.53235333,SL
519,3,60,3,8.452511667000001,-10.53462833,SL
520,11,35,6,8.452866667,-10.49010833,SL
521,3,90,10,8.453278333,-10.5359,SL
522,11,5,6,8.453645,-10.49485667,SL
523,11,120,10,8.453658333,-10.49541167,SL
524,1,45,6,8.453723333,-10.49536167,SL
525,8,20,10,8.454236667,-10.50320333,SL
526,11,75,10,8.454360000000001,-10.56804,SL
527,11,12,10,8.454476667,-10.495695,SL
528,11,60,10,8.454731667,-10.49586833,SL
529,3,2,3,8.454796667,-10.02574667,GN
530,3,6,6,8.455183332999999,-9.586973333,GN
531,11,55,10,8.455551667,-10.56991833,SL
532,1,7,10,8.456016667,-10.011975,GN
533,999995,999995,999995,8.456535,-9.431205,GN
534,3,5,6,8.45659,-10.47593,SL
535,3,3,6,8.456685,-10.48541167,SL
536,5,10,10,8.456966667,-9.482111667,GN
537,7,1,10,8.457703333,-9.47485,GN
538,8,50,10,8.45786,-10.40994833,SL
539,8,12,6,8.45824,-10.45418167,SL
540,99,2,10,8.458335,-10.00374667,GN
541,4,9,10,8.45842,-10.003645,GN
542,4,30,10,8.45925,-10.55053833,SL
543,1,30,10,8.459283333,-10.51750167,SL
544,3,12,10,8.459285000000001,-9.434116667,GN
545,3,30,6,8.459678333,-9.551251667,GN
546,3,20,3,8.460495,-9.466693333,GN
547,7,5,10,8.460664999999999,-9.477166667,GN
548,7,20,10,8.460771667000001,-9.476966667000001,GN
