drink_wat,water_time,toilet,hh_gps_latitude,hh_gps_longitude,Country
3,10,10,8.473785,-10.01738833,GN
3,2,6,8.47389,-9.567361667,GN
8,30,10,8.475248333,-9.619851667,LR
7,30,10,8.476016667,-9.46954,GN
3,15,10,8.476036667,-9.553433333,GN
11,120,10,8.476688333,-10.53336667,SL
3,30,10,8.476815,-9.60292,GN
8,20,10,8.477241667,-10.63132833,SL
8,150,10,8.477261667,-10.44048,SL
8,30,6,8.47735,-10.47401,SL
3,20,10,8.477683333,-9.972296667,GN
7,35,10,8.477746667,-10.42252167,SL
8,20,10,8.477941667,-9.995555,GN
8,40,6,8.478015,-10.60736333,SL
8,40,10,8.478138333,-10.50359167,SL
8,45,10,8.478213333,-9.995373333,GN
7,90,6,8.478335,-10.45535667,SL
5,30,10,8.478738333,-10.39206833,SL
8,17,10,8.479548333,-9.624341667,LR
8,45,10,8.480196667,-10.43059333,SL
3,10,10,8.480415,-9.549663333,GN
3,30,6,8.480781667,-10.55546,SL
3,20,10,8.482208333,-10.51065,SL
8,35,10,8.482878333,-9.96112,GN
11,20,10,8.482938333,-10.01191,GN
8,30,10,8.48299,-10.01187667,GN
99,20,6,8.483063333,-10.02638833,GN
8,20,3,8.483605,-10.49153,SL
7,20,6,8.484301667,-10.46863833,SL
8,45,10,8.484815,-10.54199167,SL
7,60,10,8.484906667,-10.44844,SL
3,35,10,8.486631667,-10.40646167,SL
5,20,10,8.48701,-10.51954,SL
8,50,6,8.487038333,-10.61806333,SL
8,10,10,8.488361667,-10.44045167,SL
8,60,6,8.488538333,-10.42249167,SL
3,40,6,8.488586667,-10.422525,SL
99,5,10,8.48878,-10.03800667,GN
8,20,3,8.489623333,-10.497485,SL
8,60,10,8.489701667,-10.20832667,GN
8,1,10,8.489793333,-10.59307833,SL
3,20,3,8.489831667,-10.59302,SL
8,20,6,8.490481667,-10.358025,SL
8,30,10,8.490813333,-10.529605,SL
4,45,10,8.490821667,-9.953606667,GN
8,60,6,8.490983333,-10.604455,SL
8,60,2,8.491458333,-10.39856667,SL
3,10,97,8.491753333,-10.59258667,SL
8,130,10,8.492196667,-10.21725,GN
3,8,10,8.492923333,-9.529986667,GN
999995,999995,999995,8.492985,-10.39112333,SL
8,30,3,8.493503333,-10.39637833,SL
3,10,10,8.493535,-9.580093333,GN
