,lat,lon,tags_bed_count,tags_doctors_num,tags_nurses_num,tags_electricity,tags_operator,tags_water_source,tags_opening_hours,Country
248,9.4299678,-13.0796649,14,,0,,private_profit,,,GN
249,9.4311558,-13.0902891,250,,,,government,,08:00-18:00,GN
250,9.4233091,-13.0759594,05,04,,,government,,,GN
251,9.4538216,-13.182545,1,1,2,,government,,,GN
252,9.4300538,-13.0797064,14,1,2,,private_profit,,,GN
253,9.4343431,-13.0756481,,,,,government,,,GN
254,9.344437,-13.132904,2,1,1,,government,,,GN
255,9.431341,-13.0901174,140,10,4,,government,,,GN
256,9.4315408,-13.0906016,,4,10,,government,,,GN
257,9.3660843,-12.7617815,3,,1,,government,,,SL
258,9.3397765,-12.8583152,4,,,,,,,SL
259,9.5390723,-12.6638788,4,02,,,government,,08:00-18:00,SL
260,9.6634525,-12.8290505,5,1,2,,government,,,SL
261,9.5698691,-12.6844847,02,01,01,,government,,08:00-18:00,SL
262,9.6622577,-12.8266313,03,0,01,,government,,07:00-18:00,SL
263,9.6120688,-12.8091265,7,3,3,,government,,07:00-17:00,SL
264,9.7194259,-12.7952394,5,,2,,government,,07:00-19:00,GN
265,9.713582,-12.6497013,3,,2,,government,,07:00-19:00,SL
266,9.8755176,-12.5553963,3,1,1,,government,,08:00-18:00,GN
267,10.0510778,-12.3043176,3,,2,,government,,06:00-23:00,GN
268,9.976084,-12.3392431,02,,01,,,,07:00-23:00,SL
269,9.8818241,-12.4473865,8,,5,,government,,08:00-18:00,SL
270,10.1539196,-12.5357925,07,,02,,government,,07:00-18:00,GN
271,10.3902814,-12.079137,7,0,0,,ngo,,,GN
272,10.3993282,-12.0818164,7,2,3,,,,,GN
273,10.4030026,-12.1469522,2,,1,,government,,8:00-16:30,GN
274,10.2899631,-11.9804599,4,,,,government,,,GN
275,10.3781822,-12.0814204,10,0,0,,ngo,,,GN
276,9.8882766,-11.0637279,2,1,3,,,,,SL
277,10.0466128,-10.7597916,6,2,3,,ngo,,,GN
278,10.0713649,-11.1195728,0,,7,,government,,08:00-16:00,SL
279,9.7268493,-10.8764756,4,,3,,government,,08:00-16:00,SL
280,9.2127709,-10.5451208,1,,1,,combination,,08:00-16:30,SL
281,9.1800135,-10.092135,10,1,2,,private_profit,,,GN
282,9.1634973,-10.0917652,5,1,2,,,,8:00-18:00,GN
283,8.9484465,-10.465993,2,9,1,,Plan Guinée (Institution),,,SL
284,8.7492595,-10.4788649,3,,1,,government,,,SL
285,8.9002472,-10.4722541,0,,1,,private_profit,,07:00-22:00,SL
286,8.5278475,-10.232675,2,1,4,,government,,08:00-17:00,GN
287,8.613067,-10.2624852,3,,2,,government,,08:00-16:00,GN
288,8.6029946,-10.1258471,5,4,1,,government,,8:00-17:00,GN
289,8.6540049,-10.1060244,12,,,,government,,07:00-18:00,GN
290,8.6222127,-10.0647184,4,1,2,,private_profit,,,GN
291,8.4823771,-10.4102318,4,,,,government,,8:00-17:00,SL
292,8.6409708,-10.4157151,7,,7,,government,,,GN
293,8.6410357,-10.4154951,6,,8,,government,,,GN
294,8.5048354,-10.3344814,6,,10,,government,,8:00-15:00,GN
295,8.3389065,-10.5428772,5,,3,,government,,8:00-16:30,SL
296,8.5549832,-10.4539813,2,2,3,,,,,SL
297,8.4956524,-10.5935226,5,,8,,government,,,SL
298,8.4900038,-10.5925332,5,,8,,government,,08:00-16:00,SL
299,8.6387549,-10.4115951,2,1,2,,government,,,GN
300,8.5404309,-10.5109663,4,,2,,government,,,SL
301,8.924849,-9.5812637,2,,1,,government,,8:00-16:00,GN
302,8.6213588,-9.8573971,4,,1,,government,,08:00-16:00,LR
303,8.5659406,-9.8744962,4,0,2,,government,,07:00-18:00,LR
304,8.5597445,-10.1305296,2,2,3,,government,,8:00-17:00,GN
305,8.5610435,-10.1370395,12,4,8,,government,,,GN
306,8.5550153,-10.1221718,5,4,2,,,,7:00-16:00,GN
307,8.5590146,-10.1350808,,,,,,,24/7,GN
308,8.5593032,-10.1353502,,2,3,,government,,8:00-16:30,GN
309,8.5575126,-10.1342566,6,,4,,government,,,GN
310,8.5669551,-10.133155,2,,2,,government,,7:00-18:00,GN
311,8.5585725,-10.1397157,4,,,,government,,07:00-19:00,GN
312,8.4581768,-9.5848952,5,2,2,,government,,,GN
313,8.6593841,-9.691205,10,,1,,government,,8:00-16:30,LR
314,8.5984523,-9.650462,1,,2,,government,,08:00-18:00,GN
315,8.480599,-9.54956,6,,1,,government,,8:00-16:30,GN
316,8.5381807,-9.6033061,3,,1,,government,,8:00-19:00,GN
317,8.4573325,-9.5853406,5,,2,,,,08:00-18:00,GN
